chain-req,countertrace,IDs,Exit Conditions
False,True:⌈(((pitmanArmUpDown = 2) & (! hazardWarningSwitchOn)) & (! (blinkingMode = 1)))⌉:⌈(! (blinkingMode = 1))⌉ ∧ ℓ > 1.0:True,ELS-1,(blinkingMode = 1)
False,True:⌈((blinkingMode = 1) & (! (tipBlinkingCycleStop & (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & (directionIndicatorRearLeftFlashing & (! darknessModeSwitchOn)))))))⌉:⌈(! (tipBlinkingCycleStop & (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & (directionIndicatorRearLeftFlashing & (! darknessModeSwitchOn))))))⌉ ∧ ℓ > 1.0:True,ELS-1,(tipBlinkingCycleStop & directionIndicatorFrontLeftFlashing & directionIndicatorExteriorMirrorLeftFlashing & directionIndicatorRearLeftFlashing & (! darknessModeSwitchOn))
True,True:True:⌈(! tipBlinkingCycleStop)⌉:⌈((! tipBlinkingCycleStop) & (! (blinkingMode = 3)))⌉:⌈((! tipBlinkingCycleStop) & (blinkingMode = 3))⌉ ∧ ℓ < 3.0:⌈((! tipBlinkingCycleStop) & (! (blinkingMode = 3)))⌉:True,ELS-2,(tipBlinkingCycleStop | (blinkingMode = 3))
False,True:⌈((blinkingMode = 3) & (! (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & directionIndicatorRearLeftFlashing))))⌉:⌈(! (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & directionIndicatorRearLeftFlashing)))⌉ ∧ ℓ > 1.0:True,ELS-2,(directionIndicatorFrontLeftFlashing & directionIndicatorExteriorMirrorLeftFlashing & directionIndicatorRearLeftFlashing)
False,True:⌈(((pitmanArmUpDown = 1) & (! hazardWarningSwitchOn)) & (! (blinkingMode = 3)))⌉:⌈(! (blinkingMode = 3))⌉ ∧ ℓ > 1.0:True,ELS-2,(blinkingMode = 3)
False,True:⌈(hazardWarningSwitchOn & (! ((blinkingMode = 5) & tipBlinkingCycleStop)))⌉:⌈(! ((blinkingMode = 5) & tipBlinkingCycleStop))⌉ ∧ ℓ > 1.0:True,ELS-3,((blinkingMode = 5) & tipBlinkingCycleStop)
False,True:⌈(pitmanArmUpDown = 1)⌉ ∧ ℓ ≥ 1/2:⌈(! (blinkingMode = 1))⌉:True,ELS-4,(blinkingMode = 1)
False,True:⌈(! (((marketCode = 1) | (marketCode = 2)) & ((blinkingMode = 1) | (blinkingMode = 2))))⌉:⌈((((marketCode = 1) | (marketCode = 2)) & ((blinkingMode = 1) | (blinkingMode = 2))) & (! (daytimeRunningLightLeft = 50)))⌉:⌈(! (daytimeRunningLightLeft = 50))⌉ ∧ ℓ > 1.0:True,ELS-6,(daytimeRunningLightLeft = 50)
False,True:⌈(((blinkingMode = 1) & (pitmanArmUpDown = 1)) & (! (blinkingMode = 1)))⌉:⌈(! (blinkingMode = 1))⌉ ∧ ℓ > 1.0:True,ELS-7,(blinkingMode = 1)
False,True:⌈(((blinkingMode = 1) & (pitmanArmUpDown = 2)) & (! (blinkingMode = 1)))⌉:⌈(! (blinkingMode = 1))⌉ ∧ ℓ > 1.0:True,ELS-7,(blinkingMode = 1)
False,True:⌈(hazardWarningSwitchOn & (! (blinkingMode = 5)))⌉:⌈(! (blinkingMode = 5))⌉ ∧ ℓ > 1.0:True,ELS-8,(blinkingMode = 5)
False,True:⌈((blinkingMode = 5) & (! (tipBlinkingCycleStop & (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & (directionIndicatorRearLeftFlashing & (directionIndicatorFrontRightFlashing & (directionIndicatorExteriorMirrorRightFlashing & directionIndicatorRearRightFlashing))))))))⌉:⌈(! (tipBlinkingCycleStop & (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & (directionIndicatorRearLeftFlashing & (directionIndicatorFrontRightFlashing & (directionIndicatorExteriorMirrorRightFlashing & directionIndicatorRearRightFlashing)))))))⌉ ∧ ℓ > 1.0:True,ELS-8,(tipBlinkingCycleStop & directionIndicatorFrontLeftFlashing & directionIndicatorExteriorMirrorLeftFlashing & directionIndicatorRearLeftFlashing & directionIndicatorFrontRightFlashing & directionIndicatorExteriorMirrorRightFlashing & directionIndicatorRearRightFlashing)
False,True:⌈(((keyState = 2) & ((lightRotarySwitch = 2) & (! overvoltage))) & (! ((lowBeamLeft = 100) & (lowBeamRight = 100))))⌉:⌈(! ((lowBeamLeft = 100) & (lowBeamRight = 100)))⌉ ∧ ℓ > 1.0:True,ELS-14,((lowBeamLeft = 100) & (lowBeamRight = 100))
False,True:⌈(((keyState = 1) & ((lightRotarySwitch = 2) & ((! ambientLightSwitchOn) & SomeRandomVariable))) & (! ((lowBeamLeft = 50) & (lowBeamRight = 50))))⌉:⌈(! ((lowBeamLeft = 50) & (lowBeamRight = 50)))⌉ ∧ ℓ > 1.0:True,ELS-15,((lowBeamLeft = 50) & (lowBeamRight = 50))
False,True:⌈(((! (keyState = 2)) & ((lightRotarySwitch = 1) & ((! ambientLightSwitchOn) & (! overvoltage)))) & (! ((lowBeamLeft = 0) & (lowBeamRight = 0))))⌉:⌈(! ((lowBeamLeft = 0) & (lowBeamRight = 0)))⌉ ∧ ℓ > 1.0:True,ELS-16,((lowBeamLeft = 0) & (lowBeamRight = 0))
True,True:⌈(keyState = 2)⌉:⌈(! (keyState = 0))⌉:⌈((! (keyState = 0)) & ((daytimeRunningLightSwitchOn & ((! ambientLightSwitchOn) & ((keyState = 1) | (keyState = 2)))) & (! ((100 < lowBeamLeft) & ((100 < lowBeamRight) & ((100 < daytimeRunningLightLeft) & (100 < daytimeRunningLightRight)))))))⌉:⌈((! (keyState = 0)) & (! ((100 < lowBeamLeft) & ((100 < lowBeamRight) & ((100 < daytimeRunningLightLeft) & (100 < daytimeRunningLightRight))))))⌉ ∧ ℓ > 1.0:True,ELS-17,((keyState = 0) | ((! (lowBeamLeft <= 100)) & (! (lowBeamRight <= 100)) & (! (daytimeRunningLightLeft <= 100)) & (! (daytimeRunningLightRight <= 100))))
True,True:⌈(brightnessSensor < 200)⌉:⌈(! (250 < brightnessSensor))⌉:⌈((! (250 < brightnessSensor)) & (((lightRotarySwitch = 1) & (keyState = 2)) & (! ((100 < lowBeamLeft) & (100 < lowBeamRight)))))⌉:⌈((! (250 < brightnessSensor)) & (! ((100 < lowBeamLeft) & (100 < lowBeamRight))))⌉ ∧ ℓ > 1.0:True,ELS-18,((! (brightnessSensor <= 250)) | ((! (lowBeamLeft <= 100)) & (! (lowBeamRight <= 100))))
True,True:⌈(250 < brightnessSensor)⌉:⌈(! (brightnessSensor < 200))⌉:⌈((! (brightnessSensor < 200)) & (((lightRotarySwitch = 1) & (keyState = 2)) & (! ((lowBeamLeft = 0) & (lowBeamRight = 0)))))⌉:⌈((! (brightnessSensor < 200)) & (! ((lowBeamLeft = 0) & (lowBeamRight = 0))))⌉ ∧ ℓ > 3.0:True,ELS-18,((! (200 <= brightnessSensor)) | ((lowBeamLeft = 0) & (lowBeamRight = 0)))
False,True:⌈(! ((lightRotarySwitch = 1) & ((keyState = 2) & ((0 < lowBeamLeft) & (0 < lowBeamRight)))))⌉:⌈((lightRotarySwitch = 1) & ((keyState = 2) & ((0 < lowBeamLeft) & (0 < lowBeamRight))))⌉:⌈((100 <= lowBeamLeft) & (100 <= lowBeamRight))⌉ ∧ ℓ < 3.0:⌈(! ((100 <= lowBeamLeft) & (100 <= lowBeamRight)))⌉:True,ELS-18,((100 <= lowBeamLeft) & (100 <= lowBeamRight))
True,True:⌈(! ((lightRotarySwitch = 1) & ((keyState = 2) & ((0 < lowBeamLeft) & (0 < lowBeamRight)))))⌉:⌈(((lightRotarySwitch = 1) & ((keyState = 2) & ((0 < lowBeamLeft) & (0 < lowBeamRight)))) & (! ((100 <= lowBeamLeft) & (100 <= lowBeamRight))))⌉:True,ELS-18,((lowBeamLeft <= 0) | ((100 <= lowBeamLeft) & (100 <= lowBeamRight)) | (lowBeamRight <= 0) | (! (keyState = 2)) | (! (lightRotarySwitch = 1)))
False,True:⌈(keyState = 2)⌉:True:⌈(! (((keyState = 0) | (keyState = 1)) & (ambientLightSwitchOn & ((brightnessSensor < 200) & ((! darknessModeSwitchOn) & (! subvoltage))))))⌉:⌈(((keyState = 0) | (keyState = 1)) & (ambientLightSwitchOn & ((brightnessSensor < 200) & ((! darknessModeSwitchOn) & (! subvoltage)))))⌉:⌈ambientLight⌉ ∧ ℓ < 30.0:⌈(! ambientLight)⌉:True,ELS-19,ambientLight
True,True:⌈(keyState = 2)⌉:True:⌈(! (((keyState = 0) | (keyState = 1)) & (ambientLightSwitchOn & ((brightnessSensor < 200) & ((! darknessModeSwitchOn) & (! subvoltage))))))⌉:⌈((((keyState = 0) | (keyState = 1)) & (ambientLightSwitchOn & ((brightnessSensor < 200) & ((! darknessModeSwitchOn) & (! subvoltage))))) & (! ambientLight))⌉:True,ELS-19,(darknessModeSwitchOn | (! ambientLightSwitchOn) | ((! (keyState = 0)) & (! (keyState = 1))) | subvoltage | ambientLight | (200 <= brightnessSensor))
False,True:⌈(! (ambientLight & (doorStateChanged | keyStateChanged)))⌉:⌈(ambientLight & (doorStateChanged | keyStateChanged))⌉:⌈ambientLight⌉ ∧ ℓ < 30.0:⌈(! ambientLight)⌉:True,ELS-19,ambientLight
False,True:⌈(! (ambientLight & (doorStateChanged | keyStateChanged)))⌉:⌈((ambientLight & (doorStateChanged | keyStateChanged)) & (! ambientLight))⌉:True,ELS-19,True
False,True:⌈ambientLight⌉:True:⌈(((! ambientLight) & (! parkingLight)) & lowBeamHeadLight)⌉:⌈lowBeamHeadLight⌉ ∧ ℓ > 1.0:True,ELS-19,(! lowBeamHeadLight)
False,True:⌈(((((0 < lowBeamLeft) & (0 < lowBeamRight)) | (0 < highBeamHeadlight)) & (! overvoltage)) & (! ((0 < tailLampLeft) & (0 < tailLampRight))))⌉:⌈(! ((0 < tailLampLeft) & (0 < tailLampRight)))⌉ ∧ ℓ > 1.0:True,ELS-22,((! (tailLampLeft <= 0)) & (! (tailLampRight <= 0)))
False,True:⌈(((0 < lowBeamLeft) & ((0 < lowBeamRight) & (((blinkingMode = 1) | (blinkingMode = 2)) & ((currentSpeed < 10) & (! subvoltage))))) & (! corneringLightActive))⌉:⌈(! corneringLightActive)⌉ ∧ ℓ > 1.0:True,ELS-24,corneringLightActive
False,True:⌈((corneringLightActive & ((! darknessModeSwitchOn) & ((! reverseGear) & ((blinkingMode = 1) & (! overvoltage))))) & (! (corneringLightLeft = 100)))⌉:⌈(! (corneringLightLeft = 100))⌉ ∧ ℓ > 1.0:True,ELS-24,(corneringLightLeft = 100)
False,True:⌈(corneringLightActive & (blinkingMode = 1))⌉:True:⌈((! (blinkingMode = 1)) & corneringLightActive)⌉:⌈corneringLightActive⌉ ∧ ℓ > 6.0:True,ELS-24,(! corneringLightActive)
False,True:⌈(corneringLightActive & (blinkingMode = 2))⌉:True:⌈((! (blinkingMode = 2)) & corneringLightActive)⌉:⌈corneringLightActive⌉ ∧ ℓ > 6.0:True,ELS-24,(! corneringLightActive)
False,True:⌈((corneringLightActive & ((! darknessModeSwitchOn) & ((! reverseGear) & ((blinkingMode = 2) & (! overvoltage))))) & (! (corneringLightRight = 100)))⌉:⌈(! (corneringLightRight = 100))⌉ ∧ ℓ > 1.0:True,ELS-24,(corneringLightRight = 100)
False,True:⌈(((0 < lowBeamLeft) & ((0 < lowBeamRight) & ((currentSpeed < 100) & ((0 < steeringAngle) & (((steeringAngle < 410) | (614 < steeringAngle)) & (! subvoltage)))))) & (! corneringLightActive))⌉:⌈(! corneringLightActive)⌉ ∧ ℓ > 1.0:True,ELS-26,corneringLightActive
False,True:⌈((corneringLightActive & ((! darknessModeSwitchOn) & (reverseGear & ((blinkingMode = 1) & (! overvoltage))))) & (! (corneringLightRight = 100)))⌉:⌈(! (corneringLightRight = 100))⌉ ∧ ℓ > 1.0:True,ELS-27,(corneringLightRight = 100)
False,True:⌈((corneringLightActive & ((! darknessModeSwitchOn) & (reverseGear & ((blinkingMode = 2) & (! overvoltage))))) & (! (corneringLightLeft = 100)))⌉:⌈(! (corneringLightLeft = 100))⌉ ∧ ℓ > 1.0:True,ELS-27,(corneringLightLeft = 100)
False,True:⌈(((keyState = 0) & ((lightRotarySwitch = 2) & (((pitmanArmUpDown = 2) | (pitmanArmUpDown = 4)) & (! ambientLight)))) & (! parkingLight))⌉:⌈(! parkingLight)⌉ ∧ ℓ > 1.0:True,ELS-28,parkingLight
False,True:⌈((parkingLight & (pitmanArmUpDown = 2)) & (! ((lowBeamLeft = 10) & (tailLampLeft = 10))))⌉:⌈(! ((lowBeamLeft = 10) & (tailLampLeft = 10)))⌉ ∧ ℓ > 1.0:True,ELS-28,((lowBeamLeft = 10) & (tailLampLeft = 10))
False,True:⌈((parkingLight & (pitmanArmUpDown = 4)) & (! ((lowBeamRight = 10) & (tailLampRight = 10))))⌉:⌈(! ((lowBeamRight = 10) & (tailLampRight = 10)))⌉ ∧ ℓ > 1.0:True,ELS-28,((lowBeamRight = 10) & (tailLampRight = 10))
False,True:⌈((pitmanArmForthBack = 2) & (! (highBeamHeadlight = 1)))⌉:⌈(! (highBeamHeadlight = 1))⌉ ∧ ℓ > 1.0:True,ELS-30,(highBeamHeadlight = 1)
False,True:⌈(((lightRotarySwitch = 2) & (pitmanArmForthBack = 1)) & (! ((highBeamHeadlight = 2) & ((highBeamMotor = 7) & (highBeamRange = 100)))))⌉:⌈(! ((highBeamHeadlight = 2) & ((highBeamMotor = 7) & (highBeamRange = 100))))⌉ ∧ ℓ > 1.0:True,ELS-31,((highBeamHeadlight = 2) & (highBeamMotor = 7) & (highBeamRange = 100))
False,True:⌈(((lightRotarySwitch = 1) & ((pitmanArmForthBack = 1) & (cameraState = 0))) & (! (highBeamHeadlight = 3)))⌉:⌈(! (highBeamHeadlight = 3))⌉ ∧ ℓ > 1.0:True,ELS-32,(highBeamHeadlight = 3)
False,True:⌈(((! overvoltage) & ((300 < currentSpeed) & ((! oncomingTraffic) & (highBeamHeadlight = 3)))) & (! ((1 < highBeamMotor) & ((highBeamMotor <= 11) & ((30 < highBeamRange) & (highBeamRange <= 100))))))⌉:⌈(! ((1 < highBeamMotor) & ((highBeamMotor <= 11) & ((30 < highBeamRange) & (highBeamRange <= 100)))))⌉ ∧ ℓ > 2.0:True,ELS-33,((! (highBeamMotor <= 1)) & (highBeamMotor <= 11) & (! (highBeamRange <= 30)) & (highBeamRange <= 100))
False,True:⌈((oncomingTraffic & (0 < highBeamHeadlight)) & (! ((highBeamMotor = 0) & (highBeamRange = 30))))⌉:⌈(! ((highBeamMotor = 0) & (highBeamRange = 30)))⌉ ∧ ℓ > 1/2:True,ELS-34,((highBeamMotor = 0) & (highBeamRange = 30))
False,True:⌈(((! oncomingTraffic) & (highBeamHeadlight = 3)) & (! ((1 < highBeamMotor) & ((highBeamMotor <= 11) & ((30 < highBeamRange) & (highBeamRange <= 100))))))⌉:⌈(! ((1 < highBeamMotor) & ((highBeamMotor <= 11) & ((30 < highBeamRange) & (highBeamRange <= 100)))))⌉ ∧ ℓ > 2.0:True,ELS-35,((! (highBeamMotor <= 1)) & (highBeamMotor <= 11) & (! (highBeamRange <= 30)) & (highBeamRange <= 100))
False,True:⌈(((! overvoltage) & ((300 <= currentSpeed) & (highBeamHeadlight = 3))) & (! ((1 <= highBeamMotor) & (highBeamMotor <= 11))))⌉:⌈(! ((1 <= highBeamMotor) & (highBeamMotor <= 11)))⌉ ∧ ℓ > 1.0:True,ELS-36,((1 <= highBeamMotor) & (highBeamMotor <= 11))
False,True:⌈(((cruiseControlMode = 2) & ((300 <= setVehicleSpeed) & (highBeamHeadlight = 3))) & (! ((1 <= highBeamMotor) & (highBeamMotor <= 11))))⌉:⌈(! ((1 <= highBeamMotor) & (highBeamMotor <= 11)))⌉ ∧ ℓ > 1.0:True,ELS-37,((1 <= highBeamMotor) & (highBeamMotor <= 11))
